Abertura;IBOV INDEX;AALR3 BZ EQUITY;ABEV3 BZ EQUITY;ALUP11 BZ EQUITY;ANIM3 BZ EQUITY;AZUL4 BZ EQUITY;B3SA3 BZ EQUITY;BBAS3 BZ EQUITY;BBDC3 BZ EQUITY;BBDC4 BZ EQUITY;BBSE3 BZ EQUITY;BKBR3 BZ EQUITY;BPAC11 BZ EQUITY;BRAP4 BZ EQUITY;BRDT3 BZ EQUITY;BRFS3 BZ EQUITY;BRKM5 BZ EQUITY;BRML3 BZ EQUITY;BRSR6 BZ EQUITY;BTOW3 BZ EQUITY;CAML3 BZ EQUITY;CCRO3 BZ EQUITY;CESP6 BZ EQUITY;CIEL3 BZ EQUITY;CMIG3 BZ EQUITY;CMIG4 BZ EQUITY;CPFE3 BZ EQUITY;CPLE3 BZ EQUITY;CPLE6 BZ EQUITY;CRFB3 BZ EQUITY;CSAN3 BZ EQUITY;CSMG3 BZ EQUITY;CSNA3 BZ EQUITY;CVCB3 BZ EQUITY;CYRE3 BZ EQUITY;DTEX3 BZ EQUITY;ECOR3 BZ EQUITY;EGIE3 BZ EQUITY;ELET3 BZ EQUITY;ELET6 BZ EQUITY;ELPL3 BZ EQUITY;EMBR3 BZ EQUITY;ENBR3 BZ EQUITY;ENGI11 BZ EQUITY;EQTL3 BZ EQUITY;EVEN3 BZ EQUITY;EZTC3 BZ EQUITY;FLRY3 BZ EQUITY;GGBR4 BZ EQUITY;GNDI3 BZ EQUITY;GOAU3 BZ EQUITY;GOAU4 BZ EQUITY;GOLL4 BZ EQUITY;HAPV3 BZ EQUITY;HGTX3 BZ EQUITY;HYPE3 BZ EQUITY;IGTA3 BZ EQUITY;IRBR3 BZ EQUITY;ITSA4 BZ EQUITY;ITUB3 BZ EQUITY;ITUB4 BZ EQUITY;JBSS3 BZ EQUITY;KLBN11 BZ EQUITY;KROT3 BZ EQUITY;LAME3 BZ EQUITY;LAME4 BZ EQUITY;LEVE3 BZ EQUITY;LIGT3 BZ EQUITY;LOGG3 BZ EQUITY;LREN3 BZ EQUITY;MGLU3 BZ EQUITY;MRFG3 BZ EQUITY;MRVE3 BZ EQUITY;MULT3 BZ EQUITY;MYPK3 BZ EQUITY;NATU3 BZ EQUITY;OMGE3 BZ EQUITY;PARD3 BZ EQUITY;PCAR4 BZ EQUITY;PETR3 BZ EQUITY;PETR4 BZ EQUITY;PSSA3 BZ EQUITY;QUAL3 BZ EQUITY;RADL3 BZ EQUITY;RAIL3 BZ EQUITY;RENT3 BZ EQUITY;SANB11 BZ EQUITY;SAPR11 BZ EQUITY;SAPR4 BZ EQUITY;SBSP3 BZ EQUITY;SEER3 BZ EQUITY;SMLS3 BZ EQUITY;SULA11 BZ EQUITY;SUZB3 BZ EQUITY;TAEE11 BZ EQUITY;TEND3 BZ EQUITY;TGMA3 BZ EQUITY;TIMP3 BZ EQUITY;TOTS3 BZ EQUITY;TRPL4 BZ EQUITY;TUPY3 BZ EQUITY;UGPA3 BZ EQUITY;USIM5 BZ EQUITY;VALE3 BZ EQUITY;VIVT3 BZ EQUITY;VIVT4 BZ EQUITY;VULC3 BZ EQUITY;VVAR3 BZ EQUITY;WEGE3 BZ EQUITY;WIZS3 BZ EQUITY;BOVA11 BZ EQUITY;LINX3 BZ EQUITY;ENEV3 BZ EQUITY;ENAT3 BZ EQUITY;YDUQ3 BZ EQUITY;MOVI3 BZ EQUITY;ALSO3 BZ EQUITY;XPML11 BZ EQUITY
28/12/2018;87.887,30;13,24;15,38;17,98;16,99;36;26,45;44,88;27,95;31,92;26,25;20,6;22,7;30,47;23,41;21,93;47,38;12,23;21,26;41,53;6,95;10,93;21,09;8,47;14,65;13,43;28,39;29,52;30,27;17,87;32,74;60,22;8,43;61,15;14,96;11,83;9,38;32,95;23,62;27,06;31,3;21,68;13,98;36,18;73,7;6;20,53;18,82;14,57;28,95;7,24;6,81;25,1;30,94;28,48;29,63;40,68;81,31;11,05;27,59;32,95;11,59;15,5;8,77;14,95;19,62;23,56;16,35;17,89;38,17;22,51;5,46;12,1;24,03;23,61;44,63;17,45;18,41;80,2;25,13;22,4;50,71;12,06;56,88;17;29,58;41,09;57,8;9,97;30,73;13,99;40,76;27,99;37,67;22,6;15,72;27,04;11,55;26,98;16,9;19,01;25,95;9,07;51;38,81;43,53;7,1;4,39;17,32;6,15;84,6;32,45;16,09;8,22;23,33;8,56;25,37;99,51
02/01/2019;91.012,30;13,18;16,15;18,31;18;36,33;27,42;46,92;29,53;33,36;26,94;20,57;24;30,51;23,69;22,38;48,31;12,6;21,94;42,5;7,2;11,71;21,21;9,18;15,2;13,85;28,47;29,72;30,56;18,71;34,94;62,45;8,78;61,07;15,35;12,12;9,72;34,07;28,52;30,98;33,54;21,54;14,13;37,06;74,04;6,11;21,16;19,17;14,94;29,42;7,34;7,02;25,45;30,84;29,43;30,57;41,5;81,15;11,57;29,35;34,36;12,04;15,92;9,15;14,95;19,64;24,38;16,46;16,73;39,21;23,2;5,65;12,37;24,75;24,06;46,02;18,24;19,35;81,97;26,37;23,77;50,57;12,76;56,43;16,95;30,69;44,01;58,8;10,54;33,53;14,49;40,65;27,9;38,18;23,19;15,86;27,72;11,85;28,55;17,1;19,35;26,5;9,6;51,09;39,39;44,43;7,32;4,38;17,75;6,32;87,9;34,35;16,71;9,4;24,4;9;25,79;100,23
03/01/2019;91.564,30;13,23;16,33;18,34;18,79;36,37;28,61;47,11;30,15;33,69;27,24;21,13;25;29,34;24,23;21,49;48,6;12,68;21,75;42,94;7,48;12,09;21,69;8,96;14,88;13,56;28,13;29,92;30,91;19,51;35,47;63,52;8,88;60,68;15,6;12,11;9,92;35,18;30,22;32,85;32,19;21,9;14,72;37,25;76,11;6,26;21,22;19,58;14,84;29,36;7,4;7,05;25,63;30,14;29,83;31,01;41,88;80,2;11,67;29,62;34,92;12,23;16,33;9,26;14,92;19,58;24,31;17,17;16,48;38,71;22,95;5,69;12,36;24,93;24;46,38;18,4;19,39;83,38;26,91;24,35;48,97;12,83;56,3;17,44;30,19;45,47;62,81;11,3;36,12;14,8;41,11;27,16;36,55;23,25;15,87;27,97;11,77;29,21;17,35;19,16;26,01;9,39;49;38,92;44,82;7,4;4,31;18,16;6,36;88;34,15;16,8;9,78;24,38;9,25;26,31;100,15
04/01/2019;91.840,80;13,36;16,55;17,92;18,74;36,25;27,58;47,11;29,49;33,43;26,97;21,07;25,88;31,33;24,32;21,45;48,06;12,44;21,57;41,51;7,52;11,95;21,47;9,67;15,23;13,43;28,19;29,01;29,89;18,96;35,26;64,01;9,29;59,92;15,47;12,1;9,96;35,44;29,77;32,62;34;20,8;14,83;37,55;77,1;6,19;21,14;19,96;15,23;29,37;7,59;7,23;25;30,24;28,9;30,86;40,83;79,3;11,64;29,12;34,34;12,55;16,59;9,26;14,64;19,34;24,35;17,31;15,97;37,23;22,25;5,68;12,19;24,42;23,88;46,92;18,68;19,56;82,2;27,22;24,42;46,89;12,61;57,1;17,2;29,88;45,42;62,6;12,21;36,94;14,62;41,07;25,94;37,16;24,17;16,24;28,22;11,83;30,02;17,98;19,17;25,83;9,94;52,19;38,62;44,73;7,27;4,27;18,36;6,27;88,5;34,04;16,95;9,71;24,75;9,03;25,74;101,17
07/01/2019;91.699,10;13,27;16,48;17,82;18,88;35,3;27,43;46,8;29,74;33,83;26,57;20,92;26,41;31,57;24,46;21,59;47,72;12,36;21,38;39,68;7,62;11,61;21,28;9,59;14,72;13,03;27,83;29,31;30,21;18,62;34,74;62,08;9,31;60,67;15,38;12,1;9,84;35,22;28,27;31,21;33,8;21,23;14,4;37,06;77,59;6,22;20,71;20,25;15,27;28,97;7,68;7,28;23,9;30,7;27,94;30,37;40,2;80,1;11,63;29,5;34,4;12,11;16,59;9,03;15,03;19,98;24,32;17,13;15,51;36,37;22,6;5,58;12,29;24,08;24,1;45,35;18,76;19,59;82,69;28,1;24,8;47,83;12,23;55,83;16,9;29,32;46,18;61,61;11,66;36,1;14,49;39,49;26,36;35,46;23,9;16,78;27,96;12,22;29,37;17,84;19,33;25,04;9,96;51,91;38,73;45,1;7,26;4,24;18,08;6,22;88,48;32,84;16,98;9,98;24,26;9,04;26,22;100,63
08/01/2019;92.031,90;13,12;16,15;18,01;19,48;34,72;27,51;46,27;30,07;34,03;26,18;20,97;25,92;31,35;23,64;22,93;47,69;12,38;21,86;41,51;7,45;11,94;21,18;9,26;14,71;12,96;27,84;29,52;30,71;18,43;35,12;62,67;9,34;58,68;15,27;11,96;9,82;35,62;29,72;32,26;33,2;21,36;14,45;36,86;77,79;6,17;20,4;20,49;15,29;29,36;7,61;7,23;23,59;30,24;27,88;30,32;39,66;80,86;11,78;29,58;34,84;12,3;16,66;9,1;15;20,01;24,63;17,15;15,75;37,54;22,41;5,56;12,77;23,91;23,64;44,24;18,9;19,02;83,2;27,95;24,66;49,01;12,44;57,87;17,12;29,34;45,83;61,36;11,69;36,24;14,77;39,12;26,96;35,81;23,75;17,04;27,74;12,68;28,17;17,78;19,53;24,63;9,68;52,41;37,88;45,21;7,37;4,04;17,93;6,27;88,83;31,31;16,99;9,79;24,49;8,92;26,04;101,02
09/01/2019;93.613,00;13,07;16,38;18,39;19,01;35,15;27,64;46,14;30,7;34,62;25,35;20,92;25,96;32,19;23,7;23,55;48,01;12,58;22,3;44,26;7,45;12,39;21,09;9,65;14,82;13,17;28,14;29,75;31,22;18,87;37,99;62,18;9,42;59,04;15,33;12,12;10,01;36,57;29,83;32,59;32,4;21,28;14,54;37,01;79,03;6,25;20,43;20,18;15,73;30,79;7,67;7,4;23,48;30,74;28,87;30,03;40,22;80,64;11,94;29,85;35,37;12,2;16,99;9,47;15,62;20,8;24,87;17,55;16,12;38,35;22,34;5,59;13,3;24,21;23,36;45,15;18,9;19,14;84,29;28,51;25,17;48,81;12,76;60,82;17,2;30,03;46,46;62,44;11,72;36,68;15,18;38,87;27,22;37,95;23,75;16,88;27,81;12,83;29,26;17,85;19,79;25,42;10;53,69;38,28;45,89;7,68;4,01;18,13;6,45;90,32;32,15;17,08;9,43;26,22;9,12;26,72;100,9
10/01/2019;93.805,90;13,28;16,85;18,75;19,31;35,91;27,89;46,82;30,79;34,51;26,07;20,92;25,64;32,09;23,46;23,45;47,51;12,48;22,31;45,96;7,44;12,6;20,99;10,57;15,24;13,4;28,04;29,83;31,07;19,04;38,89;62,06;9,51;59,97;15,57;12;10,2;36,14;30,22;33,01;31,75;20,99;14,68;37,81;80,05;6,36;20,94;20,57;15,32;31,65;7,7;7,37;23,25;31,42;28,63;30,32;39,86;78,99;11,86;29,85;35,13;12,16;16,97;9,55;15,45;20,78;24,99;18,07;17,36;38,41;22,56;5,51;13,18;24,01;23,46;45,42;19;19,1;84,93;28,38;24,95;49,64;12,8;63,21;17,47;29,88;46,95;63,19;11,63;36,91;15,32;40,08;27,71;38,44;23,94;16,53;27,82;12,35;29,8;18,07;19,48;26,08;10,24;53,1;37,6;45,62;8,17;4,42;18,27;6,74;90,42;31,15;17,29;9,46;26,61;9,07;26,78;99,73
11/01/2019;93.658,30;13,07;17,29;18,77;18,8;37,2;28,48;47,01;30,66;34,29;26,4;20,77;25,62;31,98;23,5;22,95;48,18;12,38;22,36;44,56;7,44;13,07;21,04;10,2;15,43;13,43;27,84;30,48;32,7;19,06;38,12;61,69;9,4;58,97;16,01;12,02;10,45;36,74;30,19;32,94;31,82;21,53;14,74;37,55;80,39;6,22;21,03;20,44;14,96;31,7;7,69;7,2;24,96;31,08;28,39;32,36;39,2;77,4;11,71;29,51;34,91;12,48;16,74;9,74;15,34;20,5;25,6;18,33;19,46;37,55;22,15;5,55;13,06;23,53;23,24;44,59;18,9;19,16;88,01;28,2;24,68;52,32;13,28;63,69;17,42;29,31;46,85;65,7;11,87;38,53;15,55;40,18;28,72;38,44;24,41;16,58;27,82;12,31;30,09;18,33;19,55;25,94;10,09;52,38;38,02;45,01;8,35;4,51;18,45;6,84;90,38;29,66;17,37;9,44;26,87;9,28;28,42;97,85
14/01/2019;94.474,10;13,08;17,54;18,88;18,81;37,47;29,12;48,1;30,7;34,69;26,64;21,82;25,36;32,1;23,96;22,67;48,28;12,45;22,77;45,07;7,25;13,66;20,85;10,39;15,93;13,51;27,66;31,36;33,88;19,33;38,36;63,57;9,31;58,98;16,3;12,74;10,71;37,23;30,17;32,74;31,3;21,62;14,91;38,23;82,25;6,37;21;21,26;14,94;32,31;7,69;7,2;25,16;31,84;28,28;32,39;38,63;77,06;11,88;29,85;35,17;12,69;17,39;10,09;15,2;20,49;24,84;18,73;20,25;36,87;22,32;5,72;13,59;23,55;22,92;43,88;18,9;19,59;89,24;28,1;24,55;53,34;13,84;63,46;18;29,2;47,55;69,57;12,7;40,59;16,05;41,02;28,72;38,58;24,33;16,85;28,02;12,31;30,96;18,22;19,02;26,13;9,78;52,6;37,69;45,4;8,41;4,82;18,66;7;91,21;29,27;17,55;9,49;28,08;9,35;28,16;96,92
